Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Conwy;Rt Hon Sir I Wyn P Roberts;6;Clwyd;53576;14250;10883;13255;3108;0;751
Cynon Valley;Ms A Clwyd;6;Mid Glamorgan;49695;4890;26254;2667;4186;0;0
Delyn;D G Hanson;6;Clwyd;66591;22940;24979;6208;1414;0;0
Gower;G L Wardell;6;West Glamorgan;57231;16437;23455;4655;1658;0;636
Islwyn;Rt Hon N G Kinnock;6;Gwent;51079;6180;30908;2352;1636;0;547
Llanelli;Rt Hon D J D Davies;6;Dyfed;65058;8532;27802;6404;7878;0;0
Meirionnydd Nant Conwy;E Llwyd;6;Gwynedd;32413;6995;4978;2358;11608;0;471
Merthyr Tydfil and Rhymney;E Rowlands;6;Mid Glamorgan;58430;4904;31710;4997;2704;0;0
Monmouth;R Evans;6;Gwent;59147;24059;20855;5562;0;0;431
Montgomery;A C Carlile;6;Powys;41386;10822;4115;16031;1581;0;508
Neath;P G Hain;6;West Glamorgan;56392;6928;30903;2467;5145;0;0
Newport East;R J Hughes;6;Gwent;51603;13151;23050;4991;0;0;716
Newport West;P P Flynn;6;Gwent;54871;16360;24139;4296;653;0;0
Ogmore;R Powell;6;Mid Glamorgan;52195;6359;30186;2868;2667;0;0
Pembroke;N R Ainger;6;Dyfed;73187;25498;26253;6625;1627;0;642
Pontypridd;K S Howells PhD;6;Mid Glamorgan;61685;9925;29722;4180;4448;0;615
Rhondda;A R Rogers;6;Mid Glamorgan;59955;3588;34243;2431;5427;0;245
Swansea East;D Anderson;6;West Glamorgan;59196;7697;31179;4248;1607;0;0
Swansea West;Rt Hon A J Williams;6;West Glamorgan;59785;13760;23238;4620;1668;0;564
Torfaen;P P Murphy;6;Gwent;61104;9598;30352;6178;0;0;1210
Vale of Glamorgan;W Sweeney;6;South Glamorgan;66672;24220;24201;5045;1160;0;0
Wrexham;J Marek PhD;6;Clwyd;63720;18114;24830;7074;1415;0;0
Ynys Mon / Anglesey;I W Jones;6;Gwynedd;53412;14878;10126;1891;15984;0;182
Aberdeen North;R Hughes;2;Grampian;60217;6836;18845;4772;9608;0;0
Aberdeen South;R S Robertson;2;Grampian;58881;15808;14291;4767;6223;0;0
Angus East;A Welsh;2;Tayside;63170;18052;5994;3897;19006;0;449
