Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Blyth;EJ Milne;3;Northumberland;74004;8888;16778;10214;0;22918;0
Bodmin;P Tyler;10;Cornwall;55087;20274;5328;20283;0;0;0
Bolsover;DE Skinner;8;Derbyshire;51367;9474;30787;0;0;0;0
Bolton East;DW Young;4;Western Manchester;59620;18220;19833;8728;0;0;1259
Bolton West;RS Redmond;4;Western Manchester;50315;16562;15959;8264;0;0;0
Bootle;S Mahon;4;Merseyside;63439;12366;27301;6258;0;0;586
Bosworth;A Butler;8;Leicestershire;83120;28151;26464;16859;0;0;0
Bournemouth East;JH Cordle;10;Dorset;56560;22319;7423;13005;0;0;1709
Bournemouth West;JB Eden;10;Dorset;60725;23473;10062;12655;0;0;0
Bradford North;BT Ford;5;West Yorkshire;65504;15764;22381;13115;0;0;386
Bradford South;TW Torney;5;West Yorkshire;72552;18222;25875;12961;0;0;749
Bradford West;E Lyons;5;West Yorkshire;62157;18568;20787;7216;0;0;1364
Braintree;AH Newton;9;Essex;64975;20797;18796;15204;0;0;0
Brent East;R Freeson;11;Brent;62781;13441;21063;8204;0;0;0
Brent North;R Boyson;11;Brent;71494;25700;17759;12537;0;0;1570
Brent South;LA Pavitt;11;Brent;60756;12351;22975;5804;0;0;2232
Brentford and Isleworth;BJ Hayhoe;11;Hounslow;70735;22690;21964;9502;0;0;1741
Brentwood and Ongar;RA McCrindle;9;Essex;57732;22545;12398;13452;0;0;0
Bridgwater;TJ King;10;Somerset;69161;24830;16786;15269;0;0;0
Bridlington;RF Wood;5;Humber area;65282;25711;9780;14715;0;0;0
Brigg and Scunthorpe;J Ellis;5;Humber area;89358;25729;28803;15484;0;0;0
Brighouse and Spenborough;GC Jackson;5;West Yorkshire;63144;20561;22107;11029;0;0;169
Brighton Kemptown;A Bowden;12;East Sussex;64878;23504;19484;7954;0;0;170
Brighton Pavilion;HJ Amery;12;East Sussex;56982;21910;11292;9764;0;0;428
Bristol North East;AMF Palmer;10;Bristol Area;51629;12538;18625;8127;0;0;0
Bristol North West;M McLaren;10;Bristol Area;65695;21569;20919;11312;0;0;440
Bristol South;MFL Cocks;10;Bristol Area;60393;11742;24909;7499;0;0;1006
Bristol South East;ANW Benn;10;Bristol Area;68924;18628;26540;9870;0;0;1425
Bristol West;RG Cooke;10;Bristol Area;60133;21140;9526;13076;0;0;0
Bromsgrove and Redditch;HD Miller;7;Hereford and Worcestershire;87080;33125;29536;10726;0;0;0
Buckingham;WR Benyon;12;Buckinghamshire;78268;27179;24056;15519;0;0;0
Burnley;D Jones;4;Lancashire;52483;11268;21108;9471;0;0;0
Burton;IJ Lawrence;7;Staffordshire;67168;28343;25040;0;0;0;0
Bury and Radcliffe;MM Fidler;4;Western Manchester;77145;31113;30768;0;0;0;0
Bury St Edmunds;EW Griffiths;9;Suffolk;86602;33424;20171;16772;0;0;0
Cambridge;DWSS Lane;9;Cambridgeshire;75440;24119;19443;15491;0;0;369
Cambridgeshire;FL Pym;9;Cambridgeshire;83798;32638;17930;18826;0;0;0
Cannock;GE Roberts;7;Staffordshire;56059;12805;23869;9709;0;0;0
Canterbury;DL Crouch;12;Kent;85021;34341;15751;17300;0;0;831
Carlisle;RH Lewis;4;Cumbria;51822;18139;23119;0;0;0;628
Carlton;PW Holland;8;Nottinghamshire;71211;27305;20147;11282;0;0;1449
Carshalton;LR Carr;11;Sutton;66213;24440;18750;11695;0;0;0
Cheadle;T Normanton;4;Eastern Manchester;64942;27556;6584;21332;0;0;0
Chelmsford;NAF St John-Stevas;9;Essex;79285;28560;16063;21929;0;0;0
Chelsea;M Worsley;11;Kensington and Chelsea;64327;23320;6839;8012;0;0;416
Cheltenham;AD Dodds-Parker;10;Gloucestershire;62065;21723;12971;15811;0;0;0
Chertsey and Walton;GE Pattie;12;Surrey;66935;26603;14640;13626;0;0;0
Chesham and Amersham;IHJL Gilmour;12;Buckinghamshire;62744;27035;9700;16619;0;0;0
Chester, City Of;PH Morrison;4;Cheshire;68962;24527;17759;13098;0;0;0
