Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Norfolk South West;Rt.Hon. Mrs G. Shephard;9;Norfolk;80236;24694;22230;8178;0;0;3694
Normanton;W. O'Brien;5;West Yorkshire;62980;10153;26046;5347;0;0;1458
Northampton North;Ms S. Keeble;8;Northamptonshire;73664;17247;27247;6579;0;0;625
Northampton South;A. Clarke;8;Northamptonshire;79384;23470;24214;6316;0;0;3105
Northavon;Prof S. Webb;10;Bristol Area;78943;24363;9767;26500;0;0;1900
Norwich North;Dr I. Gibson;9;Norfolk;72521;17876;27346;6951;0;0;2884
Norwich South;C. Clarke;9;Norfolk;70009;12028;26267;9457;0;0;3049
Nottingham East;J. Heppell;8;Nottinghamshire;65581;9336;24755;4008;0;0;1645
Nottingham North;G. Allen;8;Nottinghamshire;65698;8402;27203;3301;0;0;2495
Nottingham South;A. Simpson;8;Nottinghamshire;72418;13461;26825;6265;0;0;1969
Nuneaton;W. Olner;7;Warwickshire;72032;16540;30080;4732;0;0;2161
Old Bexley and Sidcup;Rt.Hon. Sir E. Heath;11;Bexley;68044;21608;18039;8284;0;0;3460
Oldham East and Saddleworth;P. Woolas;4;Eastern Manchester;73189;10666;22546;19157;0;0;1732
Oldham West and Royton;M. Meacher;4;Eastern Manchester;69203;10693;26894;5434;0;0;2717
Orpington;J. Horam;11;Bromley;78749;24417;10753;21465;0;0;3527
Oxford East;A. Smith;12;Oxfordshire;69339;10540;27205;7038;0;0;3094
Oxford West and Abingdon;Dr E. Harris;12;Oxfordshire;79329;19983;12361;26268;0;0;2584
Pendle;G. Prentice;4;Lancashire;63049;14235;25059;5460;0;0;2281
Penrith and The Border;Rt.Hon. D. Maclean;4;Cumbria;66496;23300;10576;13067;0;0;2018
Peterborough;Ms H. Brinton;9;Cambridgeshire;65926;17042;24365;5170;0;0;1850
Plymouth Devonport;D. Jamieson;10;Devon;74483;12562;31629;5570;0;0;2202
Plymouth Sutton;Mrs L. Gilroy;10;Devon;70666;14441;23881;6613;0;0;2717
Pontefract and Castleford;Ms Y. Cooper;5;West Yorkshire;62350;5614;31339;3042;0;0;1401
Poole;R. Syms;10;Dorset;66078;19726;10100;14428;0;0;2556
Poplar and Canning Town;J. Fitzpatrick;11;Tower Hamlets;67172;5892;24807;4072;0;0;4497
Portsmouth North;S. Rapson;12;Hampshire;64539;17016;21339;4788;0;0;2127
Portsmouth South;M. Hancock;12;Hampshire;80514;16094;13086;20421;0;0;2094
Preston;Mrs A. Wise;4;Lancashire;72933;10540;29220;7045;0;0;1269
Pudsey;P. Truswell;5;West Yorkshire;70922;19163;25370;7375;0;0;823
Putney;A. Colman;11;Wandsworth;60176;17108;20084;4739;0;0;2064
Rayleigh;Dr M. Clark;9;Essex;68737;25516;14832;10137;0;0;829
Reading East;Ms J. Griffiths;12;Berkshire;71586;17666;21461;9307;0;0;1786
Reading West;M. Salter;12;Berkshire;69073;18844;21841;6153;0;0;1551
Redcar;Dr M. Mowlam;3;Teesside;68965;11308;32972;4679;0;0;0
Redditch;Ms J. Smith;7;Hereford and Worcestershire;60841;16155;22280;4935;0;0;1378
Regent's Park and Kensington North;Ms K. Buck;11;City of Westminster;73752;13710;28367;4041;0;0;1226
Reigate;C. Blunt;12;Surrey;64750;21123;13382;9615;0;0;4054
Ribble South;D. Borrow;4;Lancashire;71670;20772;25856;5879;0;0;2724
Ribble Valley;N. Evans;4;Lancashire;72664;26702;9013;20062;0;0;1444
Richmond;Rt.Hon. W. Hague;5;North Yorkshire;65058;23326;13275;8773;0;0;2367
Richmond Park;Dr J. Tonge;11;Richmond upon Thames;71572;22442;7172;25393;0;0;1846
Rochdale;Ms L. Fitzsimons;4;Eastern Manchester;68529;4237;23758;19213;0;0;874
Rochford and Southend East;Sir E. Taylor;9;Essex;72848;22683;18458;4387;0;0;1070
Romford;Mrs E. Gordon;11;Havering;59611;17538;18187;3341;0;0;3053
Romsey;M. Colvin;12;Hampshire;67306;23834;9623;15249;0;0;3115
Rossendale and Darwen;Mrs J. Anderson;4;Lancashire;69749;16521;27470;5435;0;0;1782
Rother Valley;K. Barron;5;South Yorkshire;68622;7699;31184;5342;0;0;1932
Rotherham;D. MacShane;5;South Yorkshire;59895;5383;26852;3919;0;0;1496
Rugby and Kenilworth;A. King;7;Warwickshire;79384;25861;26356;8737;0;0;251
Ruislip-Northwood;J. Wilkinson;11;Hillingdon;60393;22526;14732;7279;0;0;296
Runnymede and Weybridge;P. Hammond;12;Surrey;72177;25051;15176;8397;0;0;2937
Rushcliffe;Rt.Hon. K. Clarke;8;Nottinghamshire;78735;27558;22503;8851;0;0;3200
Rutland and Melton;A. Duncan;8;Leicestershire;70150;24107;15271;10112;0;0;3140
Ryedale;J. Greenway;5;North Yorkshire;65215;21351;8762;16293;0;0;2377
Saffron Walden;Sir A. Haselhurst;9;Essex;74097;25871;12275;15298;0;0;3606
St Albans;K. Pollard;9;Hertfordshire;65560;16879;21338;10692;0;0;1896
St Helens North;D. Watts;4;Merseyside;71380;8536;31953;6270;0;0;2471
St Helens South;G. Bermingham;4;Merseyside;66526;6628;30367;5919;0;0;1344
St Ives;A. George;10;Cornwall;71680;16796;8184;23966;0;0;4955
Salford;Ms H. Blears;4;Central Manchester;58610;5779;22848;3407;0;0;1088
Salisbury;R. Key;10;Wiltshire;78973;25012;10242;18736;0;0;4249
Scarborough and Whitby;L. Quinn;5;North Yorkshire;75862;19667;24791;7672;0;0;2191
Scunthorpe;E. Morley;5;Humber area;60393;10934;25107;3497;0;0;2036
Sedgefield;Rt.Hon. A. Blair;3;Durham;64923;8383;33526;3050;0;0;2157
Selby;J. Grogan;5;North Yorkshire;75141;22002;25838;6778;0;0;1698
Sevenoaks;M. Fallon;12;Kent;66474;22776;12315;12086;0;0;2972
Sheffield Attercliffe;C. Betts;5;South Yorkshire;68548;7119;28937;6973;0;0;1289
Sheffield Brightside;D. Blunkett;5;South Yorkshire;58930;2850;24901;4947;0;0;1167
Sheffield Central;R. Caborn;5;South Yorkshire;68667;4341;23179;6273;0;0;2626
Sheffield Hallam;R. Allan;5;South Yorkshire;62834;15074;6147;23345;0;0;913
Sheffield Heeley;W. Michie;5;South Yorkshire;66599;6767;26274;9196;0;0;1029
Sheffield Hillsborough;Mrs H. Jackson;5;South Yorkshire;74642;7707;30150;13699;0;0;1468
Sherwood;P. Tipping;8;Nottinghamshire;74788;16259;33071;4889;0;0;2314
Shipley;C. Leslie;5;West Yorkshire;69281;19966;22962;7984;0;0;1960
Shrewsbury and Atcham;P. Marsden;7;Shropshire;73542;18814;20484;13838;0;0;2208
Shropshire North;O. Paterson;7;Shropshire;70852;20730;18535;10489;0;0;1764
Sittingbourne and Sheppey;D. Wyatt;12;Kent;63850;16794;18723;8447;0;0;2198
Skipton and Ripon;Rt.Hon. D. Curry;5;North Yorkshire;72042;25294;12171;13674;0;0;3212
Sleaford and North Hykeham;Rt.Hon. D. Hogg;8;Lincolnshire;71486;23358;18235;8063;0;0;3520
Slough;Ms F. MacTaggart;12;Berkshire;70283;13958;27029;3509;0;0;3236
Solihull;J. Taylor;7;Coventry and Solihull;78898;26299;14334;14902;0;0;3371
Somerton and Frome;D. Heath;10;Somerset;73988;22554;9385;22684;0;0;2780
Southampton Itchen;J. Denham;12;Hampshire;76869;15289;29498;6289;0;0;2782
Southampton Test;A. Whitehead;12;Hampshire;72893;14712;28396;7171;0;0;2162
Southend West;D. Amess;9;Essex;66493;18029;10600;15414;0;0;2471
South Holland and The Deepings;J. Hayes;8;Lincolnshire;69642;24691;16700;7836;0;0;902
Southport;R. Fearn;4;Merseyside;70194;18186;6125;24346;0;0;1939
South Shields;Dr D. Clark;3;Newcastle area;62261;5681;27834;3429;0;0;2034
Southwark North and Bermondsey;S. Hughes;11;Southwark;65598;2835;16444;19831;0;0;1685
Spelthorne;D. Wilshire;12;Surrey;70562;23306;19833;6821;0;0;1957
Stafford;D. Kidney;7;Staffordshire;67555;20292;24606;5480;0;0;1394
Staffordshire Moorlands;Ms C. Atkins;7;Staffordshire;66095;16637;26686;6191;0;0;1603
Staffordshire South;Sir P. Cormack;7;Staffordshire;68896;25568;17747;5797;0;0;2002
Stalybridge and Hyde;T. Pendry;4;Eastern Manchester;65468;10557;25363;5169;0;0;1992
Stevenage;Ms B. Follett;9;Hertfordshire;66889;16858;28440;4588;0;0;1500
Stockport;Ms A. Coffey;4;Eastern Manchester;65232;10426;29338;4951;0;0;1954
Stockton North;F. Cook;3;Teesside;64380;8369;29726;4816;0;0;1563
