Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Grantham and Stamford;Quentin Davies;8;Lincolnshire;74074;22109;14664;7838;0;0;2536
Gravesham;Adam Holloway;12;Kent;68705;19739;19085;4851;0;0;1504
Great Grimsby;Austin Mitchell;5;Humber area;63711;7858;15512;6356;0;0;3238
Great Yarmouth;Tony Wright;9;Norfolk;68887;15795;18850;4585;0;0;2148
Greenwich and Woolwich;Nick Raynsford;11;Greenwich;64033;7142;17527;7381;0;0;3565
Guildford;Anne Milton;12;Surrey;75566;22595;5054;22248;0;0;1734
Hackney North and Stoke Newington;Diane Abbott;11;Hackney;59260;4218;14268;6841;0;2907;1146
Hackney South and Shoreditch;Meg Hillier;11;Hackney;64818;4524;17048;6844;0;0;3821
Halesowen and Rowley Regis;Sylvia Heal;7;Black Country;65748;14906;19243;5204;0;0;1974
Halifax;Linda Riordan;5;West Yorkshire;64861;13162;16579;7100;0;0;2818
Haltemprice and Howden;David Davis;5;Humber area;68471;22792;6104;17676;0;0;1457
Halton;Derek Twigg;4;Cheshire;64379;6854;21460;5869;0;0;0
Hammersmith and Fulham;Greg Hands;11;Hammersmith and Fulham;79082;22407;17378;7116;0;0;2426
Hampshire East;Michael Mates;12;Hampshire;79801;24273;8519;18764;0;0;1583
Hampshire North East;James Arbuthnot;12;Hampshire;72939;25407;7630;12858;0;0;1392
Hampshire North West;Sir George Young;12;Hampshire;79763;26005;10594;12741;0;0;1925
Hampstead and Highgate;Glenda Jackson;11;Camden;68737;10886;14615;10293;0;0;2379
Harborough;Edward Garnier;8;Leicestershire;74583;20536;9222;16644;0;0;1520
Harlow;Bill Rammell;9;Essex;63180;16356;16453;5002;0;0;1922
Harrogate and Knaresborough;Phil Willis;5;North Yorkshire;65622;13684;3627;24113;0;0;1434
Harrow East;Tony McNulty;11;Harrow;84033;18715;23445;7747;0;0;916
Harrow West;Gareth Thomas;11;Harrow;74228;18270;20298;8188;0;0;1003
Hartlepool;Iain Wright;3;Teesside;68776;4058;18251;10773;0;0;2354
Harwich;Douglas Carswell;9;Essex;80474;21235;20315;5913;0;0;2945
Hastings and Rye;Michael Foster;12;East Sussex;72765;16081;18107;6479;0;0;2337
Havant;David Willetts;12;Hampshire;68545;18370;11862;8358;0;0;2761
